,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
88,Egypt,515645,-1.0,24613,-1.0,442182,-1.0,48850,122,4857.0,232.0,3693367,34792,106156692,Africa
89,Libya,507162,-1.0,6437,-1.0,500721,-1.0,4,-1,72032.0,914.0,2483446,352725,7040745,Africa
90,Ethiopia,499656,13.0,7572,-1.0,486826,11.0,5258,-1,4136.0,63.0,5465795,45242,120812698,Africa
91,Qatar,492716,121.0,686,-1.0,491636,-1.0,394,-1,165346.0,230.0,4065369,1364257,2979915,Asia
92,Réunion,486588,-1.0,921,-1.0,418572,-1.0,67095,10,535854.0,1014.0,1603660,1766027,908061,Africa
93,Honduras,470940,-1.0,11104,-1.0,0,0.0,0,105,46075.0,1086.0,1620796,158571,10221247,North America
94,Armenia,446008,-1.0,8717,-1.0,435162,-1.0,2129,-1,150072.0,2933.0,3242901,1091164,2971966,Asia
95,Bosnia and Herzegovina,401412,-1.0,16259,-1.0,379084,-1.0,6069,-1,123537.0,5004.0,1884721,580036,3249317,Europe
96,Oman,399449,-1.0,4628,-1.0,384669,-1.0,10152,2,75028.0,869.0,25000000,4695724,5323993,Asia
97,North Macedonia,346533,-1.0,9641,-1.0,336744,-1.0,148,-1,166498.0,4632.0,2218852,1066087,2081304,Europe
98,Kenya,342817,-1.0,5688,-1.0,337095,-1.0,34,1,6098.0,101.0,3967062,70569,56215221,Africa
99,Zambia,341573,-1.0,4049,-1.0,335970,-1.0,1554,-1,17543.0,208.0,3883674,199467,19470234,Africa
100,Albania,334211,7.0,3595,-1.0,328996,2.0,1620,-1,116597.0,1254.0,1941032,677173,2866374,Europe
101,Botswana,329227,-1.0,2800,-1.0,325934,-1.0,493,1,134865.0,1147.0,2026898,830300,2441162,Africa
102,Luxembourg,297757,-1.0,1133,-1.0,288991,-1.0,7633,-1,463528.0,1764.0,4412567,6869188,642371,Europe
103,Montenegro,286493,-1.0,2797,-1.0,283392,-1.0,304,6,456235.0,4454.0,2700151,4299946,627950,Europe
